threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,OpenMP Analysis. Collection Time,Serial Time (outside parallel regions),Parallel Region Time,Estimated Ideal Time,OpenMP Potential Gain,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Average Effective CPU Utilization,Metric Name
36,10,0.536465,0.0,10.3% (7.389 out of 72 logical CPUs),0.723086,0.306s (57.0%),0.231s (43.0%),0.143s (26.7%),0.088s (16.3%),36,0s (0.0% of CPU Time),2.440s (100.0% of Wait Time),5.150s (52.0% of CPU Time),"lavaMD ""-cores"" ""36"" ""-boxes1d"" ""10""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,6648784,23:40:13 21/04/2021 UTC,23:40:13 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148747,72,0.0,7.046140,0.0,0.604454,2611656716.048943,25.7% (9.259 out of 36),14.8% (10.622 out of 72),2.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.6,0.0,85.4,0.447987,1.138179,,Metric Value
18,10,0.493924,0.0,9.7% (6.968 out of 72 logical CPUs),0.741685,0.197s (39.8%),0.297s (60.2%),0.243s (49.1%),0.055s (11.1%),18,0s (0.0% of CPU Time),0.620s (100.0% of Wait Time),2.470s (34.3% of CPU Time),"lavaMD ""-cores"" ""18"" ""-boxes1d"" ""10""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,5880939,23:40:54 21/04/2021 UTC,23:40:55 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148709,72,0.0,11.479512,0.0,0.480579,2659978911.333022,25.2% (9.055 out of 36),12.7% (9.112 out of 72),5.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.8,0.0,74.2,0.814456,2.028928,,Metric Value
9,10,0.645816,0.0,7.4% (5.327 out of 72 logical CPUs),0.766006,0.178s (27.5%),0.468s (72.5%),0.425s (65.7%),0.044s (6.8%),9,0s (0.0% of CPU Time),0.132s (100.0% of Wait Time),1.130s (21.9% of CPU Time),"lavaMD ""-cores"" ""9"" ""-boxes1d"" ""10""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,5524220,23:41:34 21/04/2021 UTC,23:41:35 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148557,72,0.0,9.894477,0.0,0.436747,2917613836.878751,16.8% (6.041 out of 36),8.3% (5.952 out of 72),5.5,2.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.5,0.0,69.5,0.980635,2.343168,,Metric Value
4,10,1.070251,0.0,3.3% (2.377 out of 72 logical CPUs),1.472481,0.140s (13.0%),0.931s (87.0%),0.853s (79.7%),0.077s (7.2%),4,0s (0.0% of CPU Time),0.011s (100.0% of Wait Time),0.570s (14.4% of CPU Time),"lavaMD ""-cores"" ""4"" ""-boxes1d"" ""10""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,5359646,23:42:15 21/04/2021 UTC,23:42:16 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148311,72,0.0,6.222850,0.0,0.432904,3255318872.329251,9.1% (3.258 out of 36),4.5% (3.231 out of 72),6.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.2,0.0,68.8,1.018553,2.434141,,Metric Value
36,20,1.761505,0.0,27.9% (20.063 out of 72 logical CPUs),2.160719,0.456s (25.9%),1.305s (74.1%),1.108s (62.9%),0.197s (11.2%),36,0s (0.0% of CPU Time),7.896s (100.0% of Wait Time),7.680s (16.2% of CPU Time),"lavaMD ""-cores"" ""36"" ""-boxes1d"" ""20""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,20785942,23:42:59 21/04/2021 UTC,23:43:01 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148368,72,0.0,31.728601,0.0,0.466211,2601009427.926695,61.3% (22.067 out of 36),32.0% (23.005 out of 72),5.7,3.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.9,0.0,71.1,0.934933,2.289336,,Metric Value
18,20,2.492362,0.0,20.3% (14.650 out of 72 logical CPUs),2.600237,0.304s (12.2%),2.188s (87.8%),2.031s (81.5%),0.157s (6.3%),18,0s (0.0% of CPU Time),1.636s (100.0% of Wait Time),2.110s (5.3% of CPU Time),"lavaMD ""-cores"" ""18"" ""-boxes1d"" ""20""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,17964484,23:43:46 21/04/2021 UTC,23:43:48 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147932,72,0.0,24.049513,0.0,0.425057,2679253106.806236,41.2% (14.836 out of 36),20.5% (14.729 out of 72),8.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.3,0.0,67.7,1.054268,2.509821,,Metric Value
9,20,4.300883,0.0,11.1% (8.018 out of 72 logical CPUs),4.208180,0.245s (5.7%),4.056s (94.3%),3.785s (88.0%),0.271s (6.3%),9,0s (0.0% of CPU Time),0.992s (100.0% of Wait Time),1.030s (3.0% of CPU Time),"lavaMD ""-cores"" ""9"" ""-boxes1d"" ""20""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,17581633,23:44:35 21/04/2021 UTC,23:44:40 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147898,72,0.0,14.020398,0.0,0.426664,2908869781.134053,21.8% (7.851 out of 36),11.0% (7.912 out of 72),8.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.7,0.0,67.3,1.064053,2.545037,,Metric Value
4,20,8.515681,0.0,5.0% (3.616 out of 72 logical CPUs),8.407386,0.432s (5.1%),8.084s (94.9%),7.681s (90.2%),0.403s (4.7%),4,0s (0.0% of CPU Time),1.555s (100.0% of Wait Time),0.680s (2.2% of CPU Time),"lavaMD ""-cores"" ""4"" ""-boxes1d"" ""20""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,16572751,23:45:27 21/04/2021 UTC,23:45:36 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147960,72,0.0,7.197322,0.0,0.418261,3217851496.927311,9.9% (3.567 out of 36),4.9% (3.560 out of 72),9.0,5.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.5,0.0,66.5,1.095529,2.607123,,Metric Value
36,30,5.302870,0.0,38.5% (27.744 out of 72 logical CPUs),4.937391,0.703s (13.3%),4.600s (86.7%),4.172s (78.7%),0.428s (8.1%),36,0s (0.0% of CPU Time),9.736s (100.0% of Wait Time),8.120s (5.7% of CPU Time),"lavaMD ""-cores"" ""36"" ""-boxes1d"" ""30""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,58422841,23:46:23 21/04/2021 UTC,23:46:28 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148191,72,0.0,37.168611,0.0,0.476382,2598805944.090992,69.7% (25.093 out of 36),38.9% (28.003 out of 72),7.2,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.6,0.0,69.4,0.997307,2.409040,,Metric Value
18,30,8.377265,0.0,22.1% (15.922 out of 72 logical CPUs),8.364261,0.630s (7.5%),7.747s (92.5%),7.378s (88.1%),0.369s (4.4%),18,0s (0.0% of CPU Time),5.272s (100.0% of Wait Time),3.930s (2.9% of CPU Time),"lavaMD ""-cores"" ""18"" ""-boxes1d"" ""30""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,51337850,23:47:22 21/04/2021 UTC,23:47:30 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148105,72,0.0,25.214712,0.0,0.424847,2606405081.301314,43.8% (15.764 out of 36),22.0% (15.849 out of 72),9.2,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.0,0.0,67.0,1.079496,2.570151,,Metric Value
9,30,14.516800,0.0,11.7% (8.419 out of 72 logical CPUs),14.187530,0.527s (3.6%),13.990s (96.4%),13.427s (92.5%),0.563s (3.9%),9,0s (0.0% of CPU Time),3.109s (100.0% of Wait Time),1.650s (1.4% of CPU Time),"lavaMD ""-cores"" ""9"" ""-boxes1d"" ""30""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,49187716,23:48:27 21/04/2021 UTC,23:48:41 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147975,72,0.0,14.674743,0.0,0.420523,2864248546.950238,22.8% (8.207 out of 36),11.5% (8.269 out of 72),9.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.6,0.0,66.4,1.099008,2.613951,,Metric Value
4,30,31.038145,0.0,5.2% (3.769 out of 72 logical CPUs),28.875572,0.403s (1.3%),30.635s (98.7%),29.013s (93.5%),1.622s (5.2%),4,0s (0.0% of CPU Time),4.733s (100.0% of Wait Time),0.680s (0.6% of CPU Time),"lavaMD ""-cores"" ""4"" ""-boxes1d"" ""30""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz3070,47135275,23:49:51 21/04/2021 UTC,23:50:22 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148033,72,0.0,6.898296,0.0,0.416784,3003376413.892910,10.2% (3.657 out of 36),5.1% (3.664 out of 72),9.5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.8,0.0,66.2,1.111079,2.623726,,Metric Value
